conceptId,fsn,displayTermEn,displayTermFr,publicPicklistTermEn,publicPicklistTermFr,picklistTermEn,picklistTermFr,abbreviationEn,abbreviationFr,genericParentConceptId,din,marketAuthorizationHolder,shelfStatus,typicalDoseSize,typicalDoseSizeUOM,strength,route,passive,lastUpdated
19301000087107,Diphtheria Antitoxin B.P. 1000 international units per milliliter solution for injection VINS Bioproducts Limited (product),DAtx Diphtheria Antitoxin B.P. VINS,AtxD Diphtheria Antitoxin B.P. VINS,Diphtheria Antitoxin B.P. ®,Diphtheria Antitoxin B.P. ®,Diphtheria Antitoxin B.P. ® (DAtx),Diphtheria Antitoxin B.P. ® (AtxD),DAtx,AtxD,77048008,00454591,VINS Bioproducts Limited,Cancelled,See Product Monogragh,ml,See Product Monograph,Intravenous: IV/Intramuscular: IM,TRUE,2019-11-07
22181000087103,PENTAVAC PFS 0.5 milliliter suspension for injection Serum Institute of India LTD (product),DPT-HB-Hib PENTAVAC PFS SII,DCT-HB-Hib PENTAVAC PFS SII,PENTAVAC®,PENTAVAC®,PENTAVAC® (DPT-HB-Hib),PENTAVAC® (DCT-HB-Hib),DPT-HB-Hib,DCT-HB-Hib,20591000087106,N/A,Serum Instutute of India Ltd.,International,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7421000087100,Tripacel Hybrid suspension for injection Sanofi Pasteur Limited (product),DTaP Tripacel Hybrid SP,DCaT Tripacel Hybrid SP,Tripacel® Hybrid,Tripacel® Hybrid,Tripacel® Hybrid (DTaP),Tripacel® Hybrid (DCaT),DTaP,DCaT,7841000087106,02224143,Sanofi Pasteur Ltd.,Cancelled,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
20841000087101,PEDIARIX suspension for injection GlaxoSmithKline Inc. (product),DTaP-HB-IPV PEDIARIX GSK,DCaT-HB-VPI PEDIARIX GSK,PEDIARIX®,PEDIARIX®,PEDIARIX® (DTaP-HB-IPV),PEDIARIX® (DCaT-HB-VPI),DTaP-HB-IPV,DCaT-HB-VPI,20641000087100,N/A,GlaxoSmithKline Inc.,International,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7451000087107,INFANRIX hexa suspension for injection GlaxoSmithKline Inc. (product),DTaP-HB-IPV-Hib INFANRIX hexa GSK,DCaT-HB-VPI-Hib INFANRIX hexa GSK,Infanrix® hexa,Infanrix® hexa,Infanrix® hexa (DTaP-HB-IPV-Hib),Infanrix® hexa (DCaT-HB-VPI-Hib),DTaP-HB-IPV-Hib,DCaT-HB-VPI-Hib,7731000087108,02253852,GlaxoSmithKline Inc.,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
23711000087101,ACTacel powder and diluent for solution for injection Sanofi Pasteur Limited (product),DTaP-Hib ACTacel SP,DCaT-Hib ACTacel SP,ACTacel®,ACTacel®,ACTacel® (DTaP-Hib),ACTacel® (DCaT-Hib),DTaP-Hib,DCaT-Hib,23701000087103,N/A,Sanofi Pasteur Ltd.,International,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7471000087101,QUADRACEL suspension for injection Sanofi Pasteur Limited (product),DTaP-IPV QUADRACEL SP,DCaT-VPI QUADRACEL SP,Quadracel®,Quadracel®,Quadracel® (DTaP-IPV),Quadracel® (DCaT-VPI),DTaP-IPV,DCaT-VPI,7881000087101,02230946,Sanofi Pasteur Ltd.,Dormant,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
22691000087106,KINRIX suspension for injection GlaxoSmithKline Biologicals (product),DTaP-IPV KINRIX GSK,DCaT-VPI KINRIX GSK,KINRIX®,KINRIX®,KINRIX® (DTaP-IPV),KINRIX® (DCaT-VPI),DTaP-IPV,DCaT-VPI,7881000087101,N/A,GlaxoSmithKline Biologicals,International,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7461000087105,INFANRIX-IPV suspension for injection GlaxoSmithKline Inc. (product),DTaP-IPV INFANRIX-IPV GSK,DCaT-VPI INFANRIX-IPV GSK,Infanrix®-IPV,Infanrix®-IPV,Infanrix®-IPV (DTaP-IPV),Infanrix®-IPV (DCaT-VPI),DTaP-IPV,DCaT-VPI,7881000087101,02241284,GlaxoSmithKline Inc.,Dormant,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
23721000087109,TETRAVAC-ACELLULAIRE suspension for injection Sanofi Pasteur (product),DTaP-IPV TETRAVAC-ACELLULAIRE SP,DCaT-VPI TETRAVAC-ACELLULAIRE SP,TETRAVAC-ACELLULAIRE®,TETRAVAC-ACELLULAIRE®,TETRAVAC-ACELLULAIRE® (DTaP-IPV),TETRAVAC-ACELLULAIRE® (DCaT-VPI),DTaP-IPV,DCaT-VPI,7881000087101,N/A,Sanofi Pasteur,International,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7521000087104,PEDIACEL suspension for injection Sanofi Pasteur Limited (product),DTaP-IPV-Hib PEDIACEL SP,DCaT-VPI-Hib PEDIACEL SP,Pediacel®,Pediacel®,Pediacel® (DTaP-IPV-Hib),Pediacel® (DCaT-VPI-Hib),DTaP-IPV-Hib,DCaT-VPI-Hib,7931000087106,02243167,Sanofi Pasteur Ltd.,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7501000087105,INFANRIX-IPV/Hib suspension for injection GlaxoSmithKline Inc. (product),DTaP-IPV-Hib INFANRIX-IPV/Hib GSK,DCaT-VPI-Hib INFANRIX-IPV/Hib GSK,Infanrix®-IPV/Hib,Infanrix®-IPV/Hib,Infanrix®-IPV/Hib (DTaP-IPV-Hib),Infanrix®-IPV/Hib (DCaT-VPI-Hib),DTaP-IPV-Hib,DCaT-VPI-Hib,7931000087106,02257122,GlaxoSmithKline Inc.,Dormant,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7511000087107,PENTACEL powder and suspension for suspension for injection Sanofi Pasteur Limited (product),DTaP-IPV-Hib PENTACEL SP,DCaT-VPI-Hib PENTACEL SP,Pentacel®,Pentacel®,Pentacel® (DTaP-IPV-Hib),Pentacel® (DCaT-VPI-Hib),DTaP-IPV-Hib,DCaT-VPI-Hib,7931000087106,02231343,Sanofi Pasteur Ltd.,Dormant,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
23691000087103,Tritanrix suspension for injection GlaxoSmithKline Biologicals (product),DTwP-HB Tritanrix GSK,DCGET-HB Tritanrix GSK,Tritanrix®,Tritanrix®,Tritanrix® (DTwP-HB),Tritanrix® (DTCPT-HB),DTwP-HB,DTCPT-HB,23681000087100,N/A,GlaxoSmithKline Biologicals,International,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
9841000087102,Arepanrix 3.75 micrograms per 0.5 milliliter suspension and emulsion for injection GlaxoSmithKline Inc (product),Inf Arepanrix GSK,Inf Arepanrix GSK,Arepanrix™,Arepanrix™,Arepanrix™ (Inf),Arepanrix™ (Inf),H1N1,H1N1,443651005,02401886,GlaxoSmithKline Inc.,Approved,"0.25 (6 months - 9 years), 0.5 (10 years and older)",ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
6901000087101,VAQTA 50 units per milliliter suspension for injection Merck Canada Inc. (product),HA VAQTA MC,HA VAQTA MC,Vaqta®,Vaqta®,Vaqta® (HA),Vaqta® (HA),HA,HA,19371000087102,02229702,Merck Canada Inc.,Marketed,1,ml,50 units/1.0ml,Intramuscular: IM,FALSE,2019-11-07
9851000087104,Epaxal Berna 500 radioimmunoassay units per 0.5 milliliter suspension for injection Swiss Serum and Vaccine Institute Berne (product),HA Epaxal Berna SSV,HA Epaxal Berna SSV,Epaxal Berna®,Epaxal Berna®,Epaxal Berna® (HA),Epaxal Berna® (HA),HA,HA,19371000087102,02239910,Swiss Serum and Vaccine Institute Berne,Cancelled,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
6851000087107,AVAXIM 160 units per 0.5 milliliter suspension for injection Sanofi Pasteur Limited (product),HA AVAXIM SP,HA AVAXIM SP,Avaxim®,Avaxim®,Avaxim® (HA),Avaxim® (HA),HA,HA,19371000087102,02237792,Sanofi Pasteur Ltd.,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
6871000087101,Havrix 1440 ELISA units per milliliter suspension for injection GlaxoSmithKline Inc. (product),HA Havrix 1440 GSK,HA Havrix 1440 GSK,Havrix® 1440,Havrix® 1440,Havrix® 1440 (HA),Havrix® 1440 (HA),HA,HA,19371000087102,02187078,GlaxoSmithKline Inc.,Marketed,1,ml,1440 ELISA units/1.0 ml,Intramuscular: IM,FALSE,2019-11-07
7331000087107,ViVAXIM 160 antigen units and 25 micrograms suspension for injection Sanofi Pasteur Limited (product),HA-Typh-I ViVAXIM SP,HA-Typh-I ViVAXIM SP,Vivaxim®,Vivaxim®,Vivaxim® (HA-Typh-I),Vivaxim® (HA-Typh-I),HA-Typh-I,HA-Typh-I,333707007,02248361,Sanofi Pasteur Ltd.,Marketed,1,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
6881000087104,Havrix 720 ELISA units per 0.5 milliliter suspension for injection GlaxoSmithKline Inc. (product),HA Havrix 720 Junior GSK,HA Havrix 720 Junior GSK,Havrix® 720 Junior,Havrix® 720 Junior,Havrix® 720 Junior (HA),Havrix® 720 Junior (HA),HA-pediatric,HA,9811000087103,02231056,GlaxoSmithKline Inc.,Marketed,0.5,ml,720 ELISA units/0.5ml,Intramuscular: IM,FALSE,2019-11-07
6861000087105,AVAXIM 80 units per 0.5 milliliter suspension for injection Sanofi Pasteur SA (product),HA AVAXIM - Pediatric SP,HA AVAXIM - Pédiatrique SP,Avaxim® pediatric,Avaxim® pediatric,Avaxim® pediatric (HA),Avaxim® pediatric (HA),HA-pediatric,HA,9811000087103,02243741,Sanofi Pasteur Ltd.,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
6971000087106,Twinrix 720 ELISA units HAV and 20 micrograms HBV per milliliter suspension for injection GlaxoSmithKline Inc. (product),HAHB Twinrix GSK,HAHB Twinrix GSK,Twinrix®,Twinrix®,Twinrix® (HAHB),Twinrix® (HAHB),HAHB,HAHB,333702001,02230578,GlaxoSmithKline Inc.,Marketed,1,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
6961000087102,Twinrix 360 ELISA units HAV and 10 micrograms HBV per 0.5 milliliter suspension for injection GlaxoSmithKline Inc. (product),HAHB Twinrix Junior GSK,HAHB Twinrix Junior GSK,Twinrix® Junior,Twinrix® Junior,Twinrix® Junior (HAHB),Twinrix® Junior (HAHB),HAHB-pediatric,HAHB,9801000087100,02237548,GlaxoSmithKline Inc.,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
6911000087104,Engerix B 20 micrograms per milliliter suspension for injection GlaxoSmithKline Inc. (product),HB Engerix B GSK,HB Engerix B GSK,Engerix® B,Engerix® B,Engerix® B (HB),Engerix® B (HB),HB,HB,8771000087109,01919431,GlaxoSmithKline Inc.,Marketed,1,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
6951000087100,RECOMBIVAX HB 10 micrograms per milliliter suspension for injection Merck Canada Inc. (product),HB RECOMBIVAX HB MC,HB RECOMBIVAX HB MC,Recombivax HB®,Recombivax HB®,Recombivax HB® (HB),Recombivax HB® (HB),HB,HB,8771000087109,02243676,Merck Canada Inc.,Marketed,1,ml,10 μg/1.0ml,Intramuscular: IM,FALSE,2019-11-07
6941000087103,RECOMBIVAX HB 40 micrograms per milliliter suspension for injection Merck Canada Inc. (product),HB RECOMBIVAX HB dialysis MC,HB RECOMBIVAX HB pour dialyse MC,Recombivax HB® dialysis strength,Recombivax HB® dialysis strength,Recombivax HB® dialysis strength (HB),Recombivax HB® dialysis strength (HB),HB-dialysis,HB,8781000087106,01934023,Merck Canada Inc.,Cancelled,1,ml,40 μg/1.0ml,Intramuscular: IM,FALSE,2019-11-07
6931000087109,RECOMBIVAX HB 5 micrograms per 0.5 milliliter suspension for injection Merck Canada Inc. (product),HB RECOMBIVAX HB pediatric MC,HB RECOMBIVAX HB pédiatrique MC,Recombivax HB® pediatric,Recombivax HB® pediatric,Recombivax HB® pediatric (HB),Recombivax HB® pediatric (HB),HB-pediatric,HB,9831000087108,N/A,Merck Canada Inc.,Marketed,0.5,ml,5 μg/0.5ml,Intramuscular: IM,FALSE,2019-11-07
6921000087107,Engerix B 10 micrograms per 0.5 milliliter suspension for injection GlaxoSmithKline Inc. (product),HB Engerix B pediatric GSK,HB Engerix B pédiatrique GSK,Engerix® B pediatric,Engerix® B pediatric,Engerix® B pediatric (HB),Engerix® B pediatric (HB),HB-pediatric,HB,9831000087108,02296454,GlaxoSmithKline Inc.,Marketed,0.5,ml,20μg/1.0ml,Intramuscular: IM,FALSE,2019-11-07
7941000087100,HepaGam B 312 international units per milliliter liquid for injection Cangene Corporation (product),HBIg HepaGam B Cang,HBIg HepaGam B Cang,HepaGam B®,HepaGam B®,HepaGam B® (HBIg),HepaGam B® (HBIg),HBIg,HBIg,9542007,02290979,Cangene Corporation,Marketed,See Product Monogragh,ml,See Product Monograph,Intramuscular: IM,TRUE,2019-11-07
7951000087102,HyperHEP B S/D 217 international units per milliliter solution for injection Grifols Canada Limited (product),HBIg HyperHEP B Grif,HBIg HyperHEP B Grif,HyperHEP B®,HyperHEP B®,HyperHEP B® (HBIg),HyperHEP B® (HBIg),HBIg,HBIg,9542007,02379473,Grifols Canada Ltd.,Approved,See Product Monogragh,ml,See Product Monograph,Intramuscular: IM,TRUE,2019-11-07
7341000087101,CERVARIX 40 micrograms per 0.5 milliliter suspension for injection GlaxoSmithKline Inc. (product),HPV-2 CERVARIX GSK,VPH-2 CERVARIX GSK,Cervarix®,Cervarix®,Cervarix® (HPV-2),Cervarix® (VPH-2),HPV-2,VPH-2,7791000087109,02342227,GlaxoSmithKline Inc.,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7351000087103,GARDASIL 120 micrograms per 0.5 milliliter suspension for injection Merck Canada Inc. (product),HPV-4 GARDASIL MC,VPH-4 GARDASIL MC,Gardasil®,Gardasil®,Gardasil® (HPV-4),Gardasil® (VPH-4),HPV-4,VPH-4,7801000087108,02283190,Merck Canada Inc.,Cancelled,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
20871000087109,GARDASIL 9 270 micrograms per 0.5 milliliter suspension for injection Merck Canada Inc. (product),HPV-9 GARDASIL 9 MC,VPH-9 GARDASIL 9 MC,Gardasil® 9,Gardasil® 9,Gardasil® 9 (HPV-9),Gardasil® 9 (VPH-9),HPV-9,VPH-9,20861000087100,02437058,Merck Canada Inc.,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7051000087101,Liquid PedvaxHIB suspension for injection Merck Canada Inc. (product),Hib Liquid PedvaxHIB MC,Hib PedvaxHIB liquide MC,Liquid PedvaxHib®,Liquid PedvaxHib®,Liquid PedvaxHib® (Hib),Liquid PedvaxHib® (Hib),Hib,Hib,333680004,02235721,Merck Canada Inc.,Cancelled,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7031000087105,Act-HIB 10 micrograms per 0.5 milliliter powder and diluent for solution for injection Sanofi Pasteur Limited (product),Hib Act-HIB SP,Hib Act-HIB SP,Act-HIB®,Act-HIB®,Act-HIB® (Hib),Act-HIB® (Hib),Hib,Hib,333680004,01959034,Sanofi Pasteur Ltd.,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7041000087104,Hiberix 10 micrograms per 0.5 milliliter powder and diluent for solution for injection GlaxoSmithKline Inc. (product),Hib Hiberix GSK,Hib Hiberix GSK,Hiberix®,Hiberix®,Hiberix® (Hib),Hiberix® (Hib),Hib,Hib,333680004,02239200,GlaxoSmithKline Inc.,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
23771000087108,COMVAX 7.5 micrograms and 5 micrograms per 0.5 milliliter suspension for injection Merck & Co. Inc. (product),Hib-HB COMVAX MCI,Hib-HB COMVAX MCI,COMVAX®,COMVAX®,COMVAX® (Hib-HB),COMVAX® (Hib-HB),Hib-HB,Hib-HB,426971004,N/A,Merck & Co. Inc.,International,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7361000087100,IMOVAX Polio 80 units per 0.5 milliliter solution for injection Sanofi Pasteur Limited (product),IPV IMOVAX Polio SP,VPI IMOVAX Polio SP,Imovax® Polio,Imovax® Polio,Imovax® Polio (IPV),Imovax® Polio (VPI),IPV,VPI,125688000,01959042,Sanofi Pasteur Ltd.,Marketed,0.5,ml,See Product Monograph,Subcutaneous: SC,FALSE,2019-11-07
19471000087105,IMMUNE SERUM GLOBULIN (HUMAN) 15 to 18 percent solution for injection Grifols Therapeutics Inc. (product),Ig IMMUNE SERUM GLOBULIN (HUMAN) Grif,Ig IMMUNE SERUM GLOBULIN (HUMAN) Grif,IMMUNE SERUM GLOBULIN®,IMMUNE SERUM GLOBULIN®,IMMUNE SERUM GLOBULIN® (Ig),IMMUNE SERUM GLOBULIN® (Ig),Ig,Ig,333711001,02230647,Grifols Therapeutics Inc.,Dormant,See Product Monogragh,ml,See Product Monograph,Intramuscular: IM,TRUE,2019-11-07
19391000087103,GamaSTAN 15 to 18 percent solution for injection Grifols Therapeutics Inc. (product),Ig GamaSTAN Grif,Ig GamaSTAN Grif,GamaSTAN®,GamaSTAN®,GamaSTAN® (Ig),GamaSTAN® (Ig),Ig,Ig,333711001,02230579,Grifols Therapeutics Inc.,Marketed,See Product Monogragh,ml,See Product Monograph,Intramuscular: IM,TRUE,2019-11-07
7621000087103,"INFLUVAC 15 micrograms per 0.5 milliliter suspension for injection Drug Safety, Abbott Laboratories, Limited (product)",Inf INFLUVAC API,Inf INFLUVAC API,Influvac®,Influvac®,Influvac® (Inf),Influvac® (Inf),Inf (QIV),Inf,19401000087100,02269562,"Abbott Laboratories, Limited",Marketed,0.5,ml,See Product Monograph,Intramuscular: IM/Subcutaneous: SC,FALSE,2019-11-07
20691000087107,FLUZONE Quadrivalent 15 micrograms per 0.5 milliliter suspension for injection Sanofi Pasteur Limited (product),Inf FLUZONE Quadrivalent SP,Inf FLUZONE Quadrivalent SP,FLUZONE® Quadrivalent,FLUZONE® Quadrivalent,FLUZONE® Quadrivalent (Inf),FLUZONE® Quadrivalent (Inf),Inf (QIV),Inf,19401000087100,02420643,Sanofi Pasteur Ltd.,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
20811000087102,FLULAVAL TETRA 15 micrograms per 0.5 milliliter suspension for injection ID Biomedical Corporation of Quebec (product),Inf FLULAVAL TETRA IDB,Inf FLULAVAL TETRA IDB,FLULAVAL® TETRA,FLULAVAL® TETRA,FLULAVAL® TETRA (Inf),FLULAVAL® TETRA (Inf),Inf (QIV),Inf,19401000087100,02420783,ID Biomedical Corporation of Quebec,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
24381000087107,AFLURIA TETRA 15 micrograms per 0.5 milliliter suspension for injection Seqirus Pty Ltd (product),Inf AFLURIA TETRA SEQ,Inf AFLURIA TETRA SEQ,AFLURIA TETRA®,AFLURIA TETRA®,AFLURIA TETRA® (Inf),AFLURIA TETRA® (Inf),Inf (QIV),Inf (QIV),19401000087100,02473283,Seqirus Pty Ltd,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
22981000087101,FLUAD 15 micrograms per 0.5 milliliter suspension for injection Seqirus UK Limited (product),Inf FLUAD SEQ,Inf FLUAD SEQ,FLUAD®,FLUAD®,FLUAD® (Inf),FLUAD® (Inf),Inf (TIV),Inf,7691000087100,02362384,Seqirus UK Ltd,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
7591000087101,"FLUAD 15 micrograms per 0.5 milliliter suspension for injection Novartis Vaccines and Diagnostics, Inc. (product)",Inf FLUAD NVD,Inf FLUAD NVD,Fluad®,Fluad®,Fluad® (Inf),Fluad® (Inf),Inf (TIV),Inf,7691000087100,N/A,"Novartis Vaccines and Diagnostics, Inc.",Cancelled,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
22681000087109,INFLUVAC 15 micrograms per 0.5 milliliter suspension for injection BGP Pharma ULC (product),Inf INFLUVAC BGP,Inf INFLUVAC BGP,Influvac®,Influvac®,Influvac® (Inf),Influvac® (Inf),Inf (TIV),Inf,7691000087100,02269562,BGP Pharma ULC,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM/Subcutaneous: SC,FALSE,2019-11-07
7541000087108,FLUVIRAL 15 micrograms per 0.5 milliliter suspension for injection ID Biomedical Corporation of Quebec (product),Inf FLUVIRAL IDB,Inf FLUVIRAL IDB,Fluviral®,Fluviral®,Fluviral® (Inf),Fluviral® (Inf),Inf (TIV),Inf,7691000087100,02420686,ID Biomedical Corporation of Quebec,Cancelled,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
19291000087108,"Xanaflu 15 micrograms per 0.5 milliliter suspension for injection Drug Safety, Abbott Laboratories, Limited (product)",Inf Xanaflu API,Inf Xanaflu API,Xanaflu®,Xanaflu®,Xanaflu® (Inf),Xanaflu® (Inf),Inf (TIV),Inf,7691000087100,N/A,"Abbott Laboratories, Limited",International,0.5,ml,See Product Monograph,Intramuscular: IM/Subcutaneous: SC,FALSE,2019-11-07
7611000087106,Intanza 15 micrograms per 0.1 milliliter suspension for injection Sanofi Pasteur SA (product),Inf Intanza 15 micrograms SP,Inf Intanza 15 microgrammes SP,Intanza® 15 micrograms,Intanza® 15 micrograms,Intanza® 15 micrograms (Inf),Intanza® 15 micrograms (Inf),Inf (TIV),Inf,7691000087100,02348764,Sanofi Pasteur Ltd.,Cancelled,0.1,ml,See Product Monograph,Intradermal: ID,FALSE,2019-11-07
7601000087109,Intanza 9 micrograms per 0.1 milliliter suspension for injection Sanofi Pasteur SA (product),Inf Intanza 9 micrograms SP,Inf Intanza 9 microgrammes SP,Intanza® 9 micrograms,Intanza® 9 micrograms,Intanza® 9 micrograms (Inf),Intanza® 9 micrograms (Inf),Inf (TIV),Inf,7691000087100,02348756,Sanofi Pasteur Ltd.,Cancelled,0.1,ml,See Product Monograph,Intradermal: ID,FALSE,2019-11-07
22971000087103,AGRIFLU 15 micrograms per 0.5 milliliter suspension for injection Seqirus UK Limited (product),Inf AGRIFLU SEQ,Inf AGRIFLU SEQ,AGRIFLU®,AGRIFLU®,AGRIFLU® (Inf),AGRIFLU® (Inf),Inf (TIV),Inf,7691000087100,02346850,Seqirus UK Ltd,Marketed,0.5,ml,See Product Monograph,Intramuscular: IM,FALSE,2019-11-07
